GeneID	BN4_540	BN4_541	BN4_770	BN4_771	BN4_772	BN4_773
Gene293	125	548	39	53	88	14
Gene294	718	1468	468	1031	316	285
Gene295	3598	5087	2065	3568	4461	8654
Gene296	811	1963	1269	2212	586	600
Gene297	257	410	305	548	85	164
Gene298	3180	5068	1713	1437	1998	1806
Gene299	907	1180	438	364	495	488
Gene300	1706	2564	1896	2549	1406	1375
Gene301	60	99	243	388	80	0
Gene302	6060	3612	1749	1676	1463	1128
Gene303	355	1092	1	270	223	0
Gene304	416	580	223	126	316	0
Gene305	508	542	212	273	282	279
Gene306	512	1272	246	87	597	675
Gene307	1172	795	377	283	760	1654
Gene308	9	11	11	8	2	8
Gene309	2029	2064	1260	596	1836	3692
Gene310	61	0	0	0	28	123
Gene311	23	154	46	53	0	0
Gene312	2932	3009	2999	1919	732	0
Gene313	942	2457	1008	1283	561	2185
Gene314	621	698	165	316	234	459
Gene315	1269	1560	902	1019	906	734
Gene316	2714	972	690	488	396	753
Gene317	608	393	101	11	287	125
Gene318	238	366	212	131	414	0
Gene319	1014	1375	480	746	871	3758
Gene320	203	607	309	299	87	0
Gene321	3753	6152	3168	4921	2116	3112
Gene322	77	787	657	472	150	0
Gene323	23315	11382	4932	4010	2563	1137
Gene324	3614	9978	3514	3438	2885	2918
Gene325	2791	5982	2375	2109	1490	3352
Gene326	1041	1164	535	943	717	211
Gene327	283	0	40	0	149	397
Gene328	379	137	26	0	291	0
Gene329	1625	2224	600	737	849	760
Gene330	544	880	95	81	205	92
Gene331	3248	5566	3179	6157	891	1209
Gene332	18	47	8	16	16	18
Gene333	1676	1254	191	125	741	184
Gene334	11264	25060	10958	14234	6990	11093
Gene335	362	472	196	195	166	81
Gene336	2227	4508	2145	2492	2162	3556
Gene337	56	50	13	38	102	80
Gene338	639	541	392	258	229	378
Gene339	1998	5574	2051	3213	2076	3185
Gene340	236	360	209	206	119	41
Gene341	5519	9741	11882	3116	2423	2190
Gene342	2095	662	320	333	983	2617
Gene343	378	575	306	388	323	175
Gene344	158	142	150	0	26	0
Gene345	7461	17396	9037	9233	4354	3029
Gene346	680	784	269	427	413	345
Gene347	16	47	12	7	0	0
Gene348	786	3121	858	1415	375	969
Gene349	2925	2520	2395	1405	1081	55
Gene350	88	131	0	0	130	90
Gene351	16	29	26	37	46	0
Gene352	130	17	26	39	177	0
Gene353	1290	1431	481	1083	1168	1522
Gene354	280	148	88	365	97	466
Gene355	9	28	11	11	6	3
Gene356	9235	23258	7896	7584	4528	4184
Gene357	59	213	266	67	0	156
Gene358	215	104	34	0	70	1225
Gene359	1896	4519	1719	1456	1080	1976
Gene360	14	34	77	90	46	0
Gene361	519	390	196	231	218	51
Gene362	1114	2210	1709	2878	914	989
Gene363	605	775	688	347	320	48
Gene364	322	267	41	45	92	36
Gene365	46	66	19	28	20	22
Gene366	1267	3516	2072	1213	724	555
Gene367	2108	5560	3055	2749	1566	1072
Gene368	6174	4721	2332	2033	2505	3651
Gene369	242	162	0	0	326	264
Gene370	273	927	129	184	250	410
Gene371	2913	6666	2901	3595	1901	1981
Gene372	5200	8567	2962	4768	3174	2078
Gene373	717	2193	1116	773	572	649
Gene374	6719	16368	4610	6433	5236	9633
Gene375	348	726	252	225	264	110
Gene376	1247	3032	738	2699	1132	7056
Gene377	436	590	116	352	448	871
Gene378	12177	6122	14216	7613	5292	1323
Gene379	139	267	50	42	204	0
Gene380	3172	5395	1804	2705	2239	3419
Gene381	8574	10682	8810	8987	4150	1951
Gene382	550	740	528	971	283	53
Gene383	4021	3774	818	524	1634	833
Gene384	8	28	15	0	63	0
Gene385	492	667	25	27	325	197
Gene386	30256	54185	18204	17243	22205	35802
Gene387	4236	10725	5813	8531	3965	5737
Gene388	11268	18467	9536	8276	9521	10694
Gene389	37	69	24	15	25	10
Gene390	614	1287	368	337	226	436
Gene391	3026	7488	3750	3826	1649	5693
Gene392	2593	4437	1576	1387	2039	5446
Gene393	672	1894	788	1297	398	523
Gene394	6055	7491	2905	2725	3868	5122
Gene395	143	1421	37	13	63	182
Gene396	6	44	41	53	22	0
Gene397	35	7	0	0	0	0
Gene398	3897	8202	2892	2905	2415	3297
Gene399	1499	1499	759	1700	909	554
Gene400	1706	2004	518	809	924	2584
Gene401	1484	5242	1507	1770	784	331
Gene402	434	520	316	329	107	410
Gene403	582	2283	400	756	464	1199
Gene404	655	470	165	26	954	194
Gene405	1580	3249	1061	1086	1486	4344
Gene406	1367	5194	9496	3391	4087	0
Gene407	4369	11912	4191	3503	2194	5201
Gene408	241	407	140	120	501	46
Gene409	554	215	75	409	2510	16238
Gene410	1061	1031	390	763	480	541
Gene411	3134	5120	1650	2010	1419	3116
Gene412	710	2099	650	596	560	982
Gene413	4240	7638	1984	1976	3055	4177
Gene414	408	333	121	112	635	1309
Gene415	132	162	14	6	61	130
Gene416	1022	1341	293	224	1070	762
Gene417	453	27	0	65	17	45
Gene418	42	111	50	217	18	0
Gene419	185	218	12	23	17	5
Gene420	171	364	315	255	49	0
Gene421	1712	1538	197	493	986	1026
Gene422	131	327	320	247	33	30
Gene423	3259	3019	1674	1493	3251	3963
Gene424	1077	768	111	69	887	6078
Gene425	1553	2801	980	1824	883	1093
Gene426	1269	2099	596	839	924	754
Gene427	1454	1996	1019	1487	746	848
Gene428	47500	85869	34771	41278	29438	48877
Gene429	188	166	69	17	0	0
Gene430	1290	1460	3891	4733	614	222
Gene431	2777	1332	481	83	0	1484
Gene432	46	0	0	0	124	0
Gene433	90	107	410	901	58	50
Gene434	151	276	51	3	114	168
Gene435	912	1783	522	604	556	871
Gene436	558	294	93	161	379	274
Gene437	261	1	0	0	81	0
Gene438	726	382	0	303	624	0
Gene439	9	124	7	5	12	29
